LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1735118508.437992,1042155,36193,1,SR,1,100,0.200000
1735118509.903994,1043621,36460,1,SR,1,100,0.400000
1735118510.570995,1044288,36513,1,SR,1,100,0.066667
1735118519.503008,1053220,38037,1,SR,1,100,0.533333
1735118520.704010,1054421,38205,1,SR,1,100,0.333333
1735118523.570014,1057287,38663,1,SR,1,100,0.333333
1735118555.434060,1089151,43882,1,SR,1,100,0.466667
1735118556.433061,1090150,43981,1,SR,1,100,0.133333
1735118606.095134,1139812,52050,1,SR,1,100,0.133333
1735118606.361134,1140078,52101,1,SR,1,100,0.133333
1735118614.294145,1148011,53383,1,SR,1,100,0.133333
1735118617.893151,1151610,54004,1,SR,1,100,0.333333
1735118625.359162,1159076,55207,1,SR,1,100,0.333333
1735118646.957193,1180674,58725,1,SR,1,100,0.333333
1735118648.224195,1181941,58893,1,SR,1,100,0.066667
1735118648.824196,1182541,59059,1,SR,1,100,0.466667
1735118650.491198,1184208,59314,1,SR,1,100,0.333333
1735118652.157200,1185874,59600,1,SR,1,100,0.533333
1735118670.488227,1204205,62645,1,SR,1,100,0.866667
1735118671.489228,1205206,62730,1,SR,1,100,0.333333
1735118675.555234,1209272,63415,1,SR,1,100,0.533333
